Address,NFT Count,YAY Reward
0x5D7475E67eEE9581Ad47668a813DC1D9C21e01F4,14,14
0x905110ef3e5Ed067DBEdb614ee3b01D17219B30f,14,14
0x7a2DD031a02Fd595C7BCb0A278A4518daB31AF8d,14,14
0x6436C4848F0B7b3C0436570A03149463A5C9Bf25,13,13
0x629Bf3617E5E013C39925fC6E39b3832cC90F063,13,13
0x2447c20C6225Da4cdAa30179b39C1399f947F953,13,13
0x53ACf4Eb2561ef0AE2E57cD6Be22fd13A1c27753,13,13
0x17D50B148856855273fD0669e94899d2ceb08E58,13,13
0x015bbBd86b976C122C922b6f28Cad2a053caf055,12,12
0xABb7d38f5b754ed3b2A138A2A08b32AAC47028aa,12,12
0xA1C8D5B48d8afB8Aa12EE6558b3549B1ebC036CF,12,12
0xD0dA87deB5D8c47b0d3006BAF2eB717f3C1BA274,12,12
0xD2B5BA5314bC17aB6Fc088E95b432842EaD509d3,11,11
0x67949C98404B062c401fC5A1c818f87288d3312B,11,11
0x906bc3190Ea8c3164B30E9881501b5072bcA33E6,11,11
0x22134920811a3f03D7efb405782fE54C76699204,11,11
0xD16f1Ae9f3a4C31715Da76288DE35861da27F4C0,11,11
0xF7faA381a9330d8692d5094a79F4D8e882C9E097,11,11
0x5EdD4F0cEA93ff08d0F4D41ee879249A0c863406,11,11
0xB3623D62FF30fadB5B2e127C07cab0D1b0808276,11,11
0x61fF1C6EafAe677A3940F206f79CF631c490d19f,11,11
0xE1EEd6403808B058D00a040046B7B188DF8FAC6D,11,11
0x8e08B474491B0FBde4C5d41B96942285ABF2eBd4,10,10
0xC21efE084565136394f33B8Ea51a68221bD02BC6,10,10
0x9465ea26e86709cF0440c63a9E3754735Bd6B4EE,10,10
0x60626dbf9b36E89490c4E0A471466E1802107443,10,10
0x28CF1A6b24f64ee82d55E8A8E5e80585Fabca216,10,10
0xc907674492905538Ae7561Eb32408B95E952755b,10,10
0x53B2067529E6164c3Bf7Ac9eE753736661FA3780,10,10
0x8C80142523A9d3F9C4C6C0463fE8096f1F54b15c,10,10
0xb06CC2aB088595169B89F05356233919e5153F11,10,10
0x0cf66dF35b8afa2a93Eb6Ac60B1CEbAd43e35dB8,10,10
0x629aD409E7Ad6740819Dc5C32336F830c297c1ea,10,10
0x9a48E63742CE93cB2dbF5bad3F1956c7C7fEa262,10,10
0x74FC4170bc5fC1b64a4Cb4E1477444bD46362Fb2,10,10
0x832bdB58fdd75BD9a7B5C3D0C1D01BE636257e91,10,10
0xBDF05E45143d65139978C46aD5C3e2a7c3Dd1AEA,10,10
0x8008392f78B2412EDf8CBeE974ec96C364f18555,10,10
0x462051a908B5c001bea9891cE4B0c8CAB37568D3,10,10
0xc408a7fAC351a761Ec53d04812F276339F1EEAb3,10,10
0xD73C7B74Dab6e917090179844E1B561Bb50c658B,10,10
0x2457C54C2B31625eF6b80175d06B07Bd7CAAfA38,10,10
0xB22588a89A815Bd308AbA075f15F52750FB07005,9,9
0xA01CA15648f9214aDAEF9a0306332e6d070E549A,9,9
0x0eDA343D220bd110072e176A3225d5e9657F56f2,9,9
0x32094a5E64eb4e1Ff503eEB37939b01E50421A07,9,9
0x4408EB049Ac9b3F00E426D5599c026718E0085Bf,9,9
0x38c556dEb5E0717a47ac621a5891252F50d9C87c,9,9
0xF47E4cF5EeAA1AD0d085831Df5360Ff28FC19E18,9,9
0xA876e207FA995FD8f3a0038d779cd6b9ca55ab73,9,9
0x0Adf8D5C5f293F5c467eFe9257Bf10bE713f51ba,9,9
0xBf548B0F3ec09bA8f4889BD2d8b6aB9189ba7791,8,8
0x3eE66aA086D274524970B51E1EaFEeADa937B0A8,8,8
0x08c6c63d21CD8fEd3c52b1d7F557f22DD4219928,8,8
0x93d16Ef71b20528ECBB7D5fCc670aE720b22950a,8,8
0x2b6dA847bacc42fdA2b214bAe48BA487D5AF0068,8,8
0x19e47ecE41CE9e0Aa24EFf59f02c3e9AC578419A,8,8
0x550d8A88CE3e8154d28233Ad9a27945058b8BfE0,8,8
0x9EfD4B64859217D3E3B96c6920d0346E2a5c5906,8,8
0x78Ac3bb69C0d3000DE0F4ee0ee907C60d502aa57,8,8
0x5Ba784Df1fb6b59cDF0F4341F217c9d203613Fa8,8,8
0x05f7BB35c6bB3A212bd5BC7890578f458EebCB7A,8,8
0xC8a7Fb50567e01376baa95CC94482F8fcAf6d301,8,8
0xCB59a0C734b17A1672cb2D35A4CB4060602Ae5e9,8,8
0xD80267de5eD5de6F7D6C66986b17b138fe2e1220,8,8
0x508E686A95D155C78eb60FC786637D8bC30F0C07,8,8
0x09cae45966724565E31E40882489543a18832eD5,8,8
0xadd6fe623b1b247c5E878BAD51bB13A5c8775F8b,8,8
0x03549D42bC2BA8B61F23D3959FFF2e40A4eAf3e4,8,8
0x881475210E75b814D5b711090a064942b6f30605,8,8
0xBdFC087A5C32F6B6E425697c1A19a10E378136eE,8,8
0x125a2f579372c91c819a240b546bd293DB4278DE,7,7
0x945f6c41516224FFEF1f5c24F108B6DdD7E0C828,7,7
0x95EaB0299F6b29C231a275Bd78EeecD0953a0900,7,7
0x474e5Ded6b5D078163BFB8F6dBa355C3aA5478C8,7,7
0x4b1A8b16FdcEe45BF247F8976cFd2293ea6e7B4d,7,7
0xd4878395BfBd665C92849e52c0040A3618735837,7,7
0x36fc63A184a21866b95B65242fc312Af641401Fe,7,7
0xE13F612E0dD1356a137eD7c72a70ab67984ce74B,7,7
0x74047EbBabb9075eB4b1BE1f5FDAd1E14709e8Eb,7,7
0x84C15BF9aE26BD6e31451dd8f8D3863C5eD206FB,7,7
0xA9C1f50F769d51d119b0E24E10EbAC46c9b203B9,7,7
0xc03821e9888B04d6FEa1D7f16317494032f40849,7,7
0x8EdFf0Def6910A3f87695FF437F90Dc9A084B259,7,7
0x64E2e0BEbf1F6889ACa8af61A36bb19F7D44369a,7,7
0xd052C609c806EE3465F5c9867a4142083CB8FB5d,7,7
0x19775E1817BC7a1e41060F80E0d00EabAE2959A7,7,7
0x8bB1339e930Dcf9B64e9A1cE712caAd50d88Ec62,7,7
0x6D2B9f95e5f8b48C50fA7cEd10bcA1eC7FF82cbB,7,7
0x8699e2f97eF841dDdB09570c90450533F27CfF24,7,7
0x7D243E41E53E0D2e090599EcC5943d9c60594b00,6,6
0x197ca68CdeF4E647f5751D77B12Fa4820D88f4aC,6,6
0xeBAab217A6F504df8E493A9d5b44E7e548461637,6,6
0xB39f8E0Ba776d20F62d9e86F386Af8EAfc83942C,6,6
0x2C812847c3ACA51921D52900822535384a1057Ac,6,6
0x8Ee675E4984002B786987FC2811f76dc59C97Caf,6,6
0x255f7CB572651E3Ce3af30FB8a38A25B945B8AbE,6,6
0x9d3bD8c00fb68d94D7473a7E32bCcF235f747CEf,6,6
0xc30992a53b3e91385AcE2575963Aa392edb3B931,6,6
0x3117d93d07770930F091EfD7AFb378780Cf4322d,6,6
0x1CF16a258c1eD86140de36b1c2910C7517E4EcC2,6,6
0x7b62dc54c554E772eEF534bdEb3DDbd8c34474D5,6,6
0x50DD541ad540d046E5822a1D5440060D58776eA6,6,6
0x41e1db439FDcdD3F73A4539AC76E8DF56679Ea3D,6,6
0x45cBb9C64f211aD2788443c53Ca1665BC4605230,6,6
0xBF678288ad6619E4c64A858b66A7FAbCaf77aD78,6,6
0x6e4808056Cbd3a8A47813AF918E325D78b99F17f,6,6
0x71D5daa6A7Dc1b94918c8768749b5F9982200660,6,6
0x6800B7a17017d3915C4993FCC46753Fe278a20AB,6,6
0xDA434793A5A52F7293a806A8F156e2429d500195,6,6
0x613b79Dae51d9571C639609e7efA10Bd91EE83bC,6,6
0xE8c1b66cb22D26bCff43083F54D54F11609583bB,6,6
0x9Bc4850076Cc2c57Be1256c04979987472b8F0cD,5,5
0x44473b3356906d6aE34299ddf53020F131fA0835,5,5
0xB31C7B76080B179FE9E1266e3fAf1bD97ab776a1,5,5
0x25b5e59aE2D0ea93355F0282611C0EbA1c695Aa9,5,5
0xd4998D9061CB10E62f0D232118291d797F4C54Bc,5,5
0xD77E2f943842354FD85e3cCD31738c6665F6045e,5,5
0x6e45fC4c4E5977e40062Bc43893Da4725EF71620,5,5
0x27146Cd533760E0867db2647dad531FdE92d80EF,5,5
0xb8F4DCCFFF0605232A65c0AEa4Ae27bd99EA221a,5,5
0xA6f4fa9840Aa6825446c820aF6d5eCcf9f78BA05,5,5
0xD2e0F0eCBbf04855a154aEBd439f679680ef6Ac8,5,5
0x744e4c1fFAf3295e3f52bf6AeE309b8A520a2b7f,5,5
0x914DB85c6Ec633b0Af65A330d2807993F1421765,5,5
0xafed08d3e4590cA26293e17479A70cA07ecB8852,5,5
0xc319d409A8b297289E2aBa17b289c2925f41c857,5,5
0x5d8458db06A7A9a441a57B98D2F49fb0F42F9a8e,5,5
0x11436EE79814f04b71594D651E8A23D16f0eA519,5,5
0x2ffe8127e5a81CFF17d204A87363093214110742,5,5
0x975D07636e8cA4d78F77eF86cdbD5F8Cb3923b8E,5,5
0x2625b4da309819cB8b5eb8aeE13c86ad0e097Ef6,5,5
0xb9e8167a18F35436815BAF6c0DCFeab760Ea36f1,5,5
0xe45a67D8E513AC229d1cad3d4B0F721D40B2D8a3,5,5
0xe3DE0eb57F4F6940458f4BDfBd689526ac73Cc83,5,5
0x94A030C9905e936ABF8dD00b40DA9960b685A7Ff,5,5
0x8f7aD3b6DD9F7e7D51206FF7189797568796acc0,5,5
0xe44058Fac3A7B93c8988d1b9e52A6ad61C190F7b,5,5
0x67B4ab6Aca056262159c560623186bFd334e34aF,5,5
0xFeb42dCc4f0FF4506578a5fB5728fA4057C87eA7,5,5
0xE127542c51A1ACf674cA076c33f954abf3460b02,5,5
0x4174a778fF7CE306F228819a1B17bC14EE260816,5,5
0x74dBf0FD26EfBE08ECbbBd67d1F46e59e559b023,5,5
0xE37265f4d5a68aE596EcE9252aff790b43aF76F8,5,5
0x463470955C61a54210b5dDcc20847cC325A2FF38,5,5
0x61Bf305fc159a1f019570055C05a5A375aAC3954,5,5
0x91d7CF4B01eB26b0348560dfC60377B55e87bC5e,5,5
